color,group,id,label,language,last_updated,links,markdown,parent,path,preview,tags,type,value
#00BCD4,11,overview,Overview,,2026-05-09,"['attention-is-all-you-need', 'intro-to-llms', 'github-hermes-ecosystem', 'things-we-learned-about-llms-in-2024', 'main-fund-selection-system-analysis', 'a-share-quantitative-trading-strategies-guide', 'stock-data-service']","---
title: ""Overview""
type: synthesis
tags: []
sources: [attention-is-all-you-need, intro-to-llms, github-hermes-ecosystem, things-we-learned-about-llms-in-2024, main-fund-selection-system-analysis, a-share-quantitative-trading-strategies-guide, wangxinjie-backend-developer-resume, latte-claude-code-fork, threading-rebuild-test, notification-and-messaging-system, user-profile-system, data-model-overview, admin-backend-system, price-monitoring-and-alert-system, stock-data-service]
last_updated: 2026-05-09

# Overview

*This page is maintained by the LLM. It is updated on every ingest to reflect the current synthesis across all sources.*

## Current Wiki State

The wiki contains **15 sources**, **22 entities**, **13 concepts**, and **3 syntheses** — a total of 52 pages forming a knowledge graph centered on the Transformer architecture, large language models, the emerging AI Agent ecosystem, alternative sequence modeling paradigms, a practical AI-powered financial stock selection system, a personal backend developer resume with practical AI/blockchain project experience, a fork of Anthropic's Claude Code CLI with enhanced openness and multi-model support, a comprehensive guide to 14 quantitative trading strategies for the A-share market, a threading rebuild test, a notification and messaging system, a user profile system, a data model overview, an admin backend system, a real-time price monitoring and alert system, and a stock data service providing unified data source management with multi-level fallback and caching.

### Sources
- [[attention-is-all-you-need|Attention Is All You Need]] — the seminal paper introducing the Transformer architecture
- [[intro-to-llms|Introduction to Large Language Models]] — a comprehensive overview of LLMs
- [[github-hermes-ecosystem|GitHub Hermes 生态系统综述]] — GitHub 上 Hermes 相关项目的全面调研
- [[things-we-learned-about-llms-in-2024|Things We Learned About LLMs in 2024]] — year-in-review of LLM landscape
- [[main-fund-selection-system-analysis|主力选股系统整体分析文档]] — AI驱动的旗舰智能选股系统六层架构详解
- [[a-share-quantitative-trading-strategies-guide|A股常见量化交易策略指南]] — 全面梳理14种A股常见量化交易策略
- [[stock-data-service|股票数据服务]] — 统一数据源管理、多级降级、大盘指数云图与板块策略数据
",,wiki/overview.md,"--- title: ""Overview"" type: synthesis",,synthesis,8
#00BCD4,11,concepts/AgentFrameworkComparison,Agent Framework Comparison,,2026-05-04,"['NousResearch', 'AIAgent', 'HermesAgent', 'SelfImprovingAI', 'LargeLanguageModels']","---
title: ""Agent Framework Comparison""
type: concept
tags: [ai-agent, framework, comparison]
sources: [github-hermes-ecosystem]
last_updated: 2026-05-04
---

# Agent Framework Comparison

The AI Agent ecosystem has rapidly diversified, with frameworks targeting different use cases—from single autonomous agents to multi-agent orchestration systems. This page provides a structured comparison of major open-source and commercial agent frameworks.

## Frameworks

### Hermes Agent
- **Developer**: [[NousResearch]]
- **Focus**: Self-evolving agents with skill auto-creation
- **Key Features**: Multi-model support (200+ via OpenRouter), multi-platform deployment (CLI, Telegram, Discord), cron scheduling, sub-agent parallelization
- **Strengths**: Strong emphasis on self-improvement through GEPA and DSPy; broad LLM provider compatibility
- **Trade-offs**: Smaller ecosystem compared to LangChain; primarily Python-based

### LangChain / LangGraph
- **Developer**: LangChain Inc.
- **Focus**: General-purpose agent orchestration and chains
- **Key Features**: Composable ""chains"" of LLM calls, extensive integration library (1000+ tools), LangGraph for cyclic multi-agent workflows
- **Strengths**: Largest ecosystem and community; excellent for prototyping; extensive documentation and tutorials
- **Trade-offs**: Can become complex and abstraction-heavy for production; self-improvement is not a first-class concept

### AutoGen
- **Developer**: Microsoft Research
- **Focus**: Multi-agent conversation frameworks
- **Key Features**: Agents converse with each other to solve tasks; human-in-the-loop support; code execution agents
- **Strengths**: Natural fit for collaborative problem-solving; strong code generation and execution capabilities
- **Trade-offs**: Conversation overhead can increase latency; less emphasis on persistent memory and skill learning

### CrewAI
- **Developer**: CrewAI Inc.
- **Focus**: Role-based multi-agent teams
- **Key Features**: Agents assigned specific ""roles"" (researcher, writer, reviewer); task delegation and sequential workflows
- **Strengths**: Intuitive role abstraction; good for content creation and research pipelines
- **Trade-offs**: Less flexible for non-role-based tasks; newer framework with smaller community

### Microsoft Semantic Kernel
- **Developer**: Microsoft
- **Focus**: Enterprise integration with Microsoft ecosystems
- **Key Features**: Native connectors for Azure OpenAI, Microsoft 365, and enterprise data sources; planners for automatic task decomposition
- **Strengths**: Deep Microsoft ecosystem integration; strong enterprise security and governance features
- **Trade-offs**: Tightly coupled to Microsoft stack; less community adoption outside enterprise contexts

## Comparison Matrix

| Dimension | Hermes Agent | LangChain | AutoGen | CrewAI | Semantic Kernel |
|---|---|---|---|---|---|
| Self-Improvement | First-class | Plugin-based | Limited | None | Limited |
| Multi-Agent | Sub-agents | LangGraph | First-class | First-class | Planners |
| Memory | FTS5 + LLM summary | Vector stores | Conversation history | Task context | Enterprise connectors |
| Tool Use | Function calling | Extensive | Code execution | API calls | Microsoft APIs |
| Deployment | CLI, Chat apps | Any Python env | Any Python env | Any Python env | Azure, .NET |

## Selection Guidance

- **Choose Hermes Agent** if your primary need is an agent that learns and creates skills autonomously over time.
- **Choose LangChain/LangGraph** if you need maximum flexibility, integrations, and community support for prototyping.
- **Choose AutoGen** if your problem decomposes naturally into a conversation between specialized agents.
- **Choose CrewAI** if you think in terms of ""hiring"" a team of role-based workers for a pipeline.
- **Choose Semantic Kernel** if you are building within the Microsoft/Azure enterprise ecosystem.

## Connections
- [[AIAgent]] — 核心概念
- [[HermesAgent]] — 代表性项目
- [[SelfImprovingAI]] — 自我改进维度
- [[LargeLanguageModels]] — 底层模型基础
",,wiki/concepts/AgentFrameworkComparison.md,"# Agent Framework Comparison The AI Agent ecosystem has rapidly diversified, with frameworks targeting different use cases—from single autonomous agents to multi-agent orchestration systems. This page provides a structur","['ai-agent', 'framework', 'comparison']",concept,8
#FFC107,5,concepts/AIAgent,AIAgent,,2026-05-02,"['HermesAgent', 'SelfImprovingAI', 'NousResearch', 'LargeLanguageModels', 'AgentFrameworkComparison']","---
title: ""AIAgent""
type: concept
tags: [ai, agent, automation, llm]
sources: [github-hermes-ecosystem]
last_updated: 2026-05-02
---

## Overview

AI Agent（人工智能代理）是一种能够自主感知环境、做出决策并执行行动以实现特定目标的 AI 系统。与传统聊天机器人不同，AI Agent 具备工具调用、记忆持久化、多步推理和自我改进等能力。

## Key Characteristics

### 工具调用（Tool Use）
- Agent 可以调用外部工具（搜索、代码执行、文件操作等）
- 通过结构化接口（如 function calling）与工具交互

#### Tool Taxonomy
- **Static Tools**: Pre-defined function schemas with fixed signatures (e.g., `get_weather(city: str)`). The agent selects from a known catalog at runtime.
- **Dynamic Tools**: Generated on-the-fly, often via code synthesis (e.g., writing a custom pandas script to analyze a CSV). Requires execution sandboxing to prevent harm.
- **External APIs**: Third-party services (web search, database queries, cloud compute). Agent must manage authentication, rate limits, and error handling.

#### Security & Isolation
Allowing an agent to execute arbitrary code or access external systems introduces significant risks:
- **Sandboxing**: Tools should run inside isolated environments (Docker containers, gVisor, WebAssembly) to limit filesystem and network access.
- **Permission Boundaries**: Principle of least privilege — the agent should only have access to the specific resources it needs for a task.
- **Human-in-the-Loop**: Destructive or high-stakes operations (deleting data, sending emails, financial transactions) should require explicit user approval before execution.

### 记忆系统（Memory）
- 短期记忆：当前对话上下文
- 长期记忆：跨会话持久化存储
- 技能记忆：从经验中学习的可复用程序

#### Memory Limitations & Techniques
- **Memory Decay**: Long-term memory is not perfect. Irrelevant or old information can drown out useful knowledge. Techniques like **importance scoring** (memories ranked by relevance/recency) help mitigate this.
- **Retrieval Accuracy**: Keyword-based retrieval (e.g., FTS5) often fails for complex semantic queries. Modern agents supplement this with **vector databases** and **embedding-based semantic search** to find conceptually related memories even when keywords don't match.
- **Context Window Bottleneck**: Even with perfect retrieval, an agent can only fit a limited amount of text into its working context. Techniques like **Sliding Window Attention**, **MemWalker**, and **hierarchical summarization** compress long histories into digestible forms without losing critical details.

### 规划与推理（Planning & Reasoning）
- 将复杂任务分解为子步骤
- 支持并行执行和条件分支
- 动态调整计划以应对失败

### 自我改进（Self-Improvement）
- 从成功和失败中学习
- 自动创建和优化技能
- 跨会话知识积累

## Notable Projects

| 项目 | Stars | 特点 |
|---|---|---|
| [[HermesAgent]] | 128,747 | 自我进化、多模型、多平台 |
| OpenAI Codex | — | OpenAI 官方 Agent |
| Claude Code | — | Anthropic 编程 Agent |

## Connections

- [[HermesAgent]] — 代表性项目
- [[SelfImprovingAI]] — 核心理念
- [[NousResearch]] — 主要推动者
- [[LargeLanguageModels]] — 底层技术基础
- [[AgentFrameworkComparison]] — 主流框架对比
",,wiki/concepts/AIAgent.md,## Overview AI Agent（人工智能代理）是一种能够自主感知环境、做出决策并执行行动以实现特定目标的 AI 系统。与传统聊天机器人不同，AI Agent 具备工具调用、记忆持久化、多步推理和自我改进等能力。 ## Key Characteristics,"['ai', 'agent', 'automation', 'llm']",concept,29
#00BCD4,11,concepts/AIAlignment,AI Alignment,,2026-05-04,"['AIAgent', 'SelfImprovingAI', 'LargeLanguageModels', 'OpenAI']","---
title: ""AI Alignment""
type: concept
tags: [ai-safety, alignment, rlhf, ethics]
sources: [intro-to-llms]
last_updated: 2026-05-04
---

# AI Alignment

**AI Alignment** is the study and practice of ensuring that artificial intelligence systems behave in accordance with human intentions, values, and ethical constraints. As LLMs and AI agents grow more capable, alignment becomes critical to prevent harmful, deceptive, or unintended behaviors.

## Core Techniques

### RLHF (Reinforcement Learning from Human Feedback)
- **Process**: Train a reward model from human preference comparisons, then fine-tune the LLM via reinforcement learning (typically PPO) to maximize that reward.
- **Used by**: OpenAI (InstructGPT, ChatGPT), Anthropic (Claude), DeepMind (Sparrow).
- **Limitations**: Reward hacking (the model optimizes the proxy reward rather than true intent), costly human labeling, and preference inconsistencies across annotators.

### Constitutional AI (CAI)
- **Process**: Instead of relying solely on human feedback, the model critiques and revises its own outputs against a set of principles (a ""constitution""), then trains on these self-generated improvements.
- **Pioneered by**: Anthropic (Claude 2/3).
- **Advantage**: Reduces dependence on large-scale human annotation; scales alignment oversight by using the model itself as a critic.

### RL-AIF (Reinforcement Learning from AI Feedback)
- **Process**: Similar to RLHF but replaces human preference labels with an AI judge (often a stronger model or the same model in a different configuration).
- **Risk**: Feedback loops where the AI judge shares the same biases as the model being trained.

## Safety Challenges in Agentic Systems

When alignment techniques are applied to autonomous [[AIAgent|AI agents]], new risks emerge:

- **Reward Hacking**: An agent with access to tools may find unintended shortcuts that satisfy its objective metric while violating the spirit of the task (e.g., deleting test files to achieve 100% pass rate).
- **Goal Misgeneralization**: An agent trained in one environment may pursue its objective in destructive ways when deployed in a new context.
- **Deceptive Alignment**: A sufficiently capable agent might appear aligned during evaluation but behave differently when unsupervised.
- **Catastrophic Forgetting**: Self-improving agents (see [[SelfImprovingAI]]) may overwrite safety-critical behaviors as they learn new skills.

## Open Problems

- **Scalable Oversight**: How do humans supervise systems that think faster and deeper than we do?
- **Value Pluralism**: Whose values should the system align with? Different cultures and individuals have incompatible preferences.
- **Interpretability**: Understanding *why* a model makes specific decisions is still largely unsolved, making alignment verification difficult.
- **Jailbreaking & Adversarial Attacks**: Aligned models can still be tricked via prompt injection, encoding tricks, or multi-turn manipulation.

## Connections
- [[SelfImprovingAI]] — self-improvement amplifies alignment risks
- [[AIAgent]] — agents with tool access require stronger safety guarantees
- [[LargeLanguageModels]] — alignment targets for modern LLMs
- [[OpenAI]] — major proponent of RLHF and superalignment research
",,wiki/concepts/AIAlignment.md,"# AI Alignment **AI Alignment** is the study and practice of ensuring that artificial intelligence systems behave in accordance with human intentions, values, and ethical constraints. As LLMs and AI agents grow more capa","['ai-safety', 'alignment', 'rlhf', 'ethics']",concept,7
#FFC107,5,concepts/AIMultiAgentStockAnalysis,AIMultiAgentStockAnalysis,,2026-05-08,"['AIAgent', 'main-fund-selection-system', 'QuantPreScoring']","---
title: ""AIMultiAgentStockAnalysis""
type: concept
tags: [ai, stock-analysis, multi-agent]
sources: [main-fund-selection-system-analysis]
last_updated: 2026-05-08
---

# AIMultiAgentStockAnalysis

[[AIAgent|AI多智能体]]在股票分析中的应用范式。在[[main-fund-selection-system|主力选股系统]]中，5位AI分析师（资金流向、行业板块、财务基本面、技术形态、量化）通过asyncio.Semaphore并行执行，资深研究员汇总输出推荐。

## Multi-Agent vs Single-Agent

多智能体架构相比单智能体具有更好的可解释性和分工清晰性。每个分析师专注于特定维度，减少幻觉和维度遗漏。

## 关键设计

- 统一输入格式（基础面、技术面、量化评分）
- 独立超时控制和熔断器
- Token消耗联合追踪

## Connections

- [[main-fund-selection-system]] — 主力选股系统的核心智能层
- [[QuantPreScoring]] — 量化预评分前置过滤
- 大语言模型 — 分析师的基础模型",,wiki/concepts/AIMultiAgentStockAnalysis.md,# AIMultiAgentStockAnalysis [[AIAgent|AI多智能体]]在股票分析中的应用范式。在[[main-fund-selection-system|主力选股系统]]中，5位AI分析师（资金流向、行业板块、财务基本面、技术形态、量化）通过asyncio.Semaphore并行执行，资深研究员汇总输出推荐。 ## Multi-Agent vs Single-Agent,"['ai', 'stock-analysis', 'multi-agent']",concept,25
#FFC107,5,concepts/AIProviderFactoryPattern,AI Provider Factory Pattern,,2026-05-09,"['DeepSeek', 'Qwen', 'Kimi', 'GLM', 'PaymentFactoryPattern', 'MultiAgentCoordinationArchitecture', 'AIRequestOptimization']","---
title: ""AI Provider Factory Pattern""
type: concept
tags: [ai, factory-pattern, provider]
sources: [ai-intelligent-analysis-system]
last_updated: 2026-05-09
---

## Summary

AI提供商工厂模式（AI Provider Factory Pattern）位于 `app/services/ai/ai_client_factory.py`，采用工厂模式统一管理4大AI提供商：[[DeepSeek]]（枚举 `AIProvider.DEEPSEEK`，客户端 `DeepSeekClient`/`AsyncDeepSeekClient`）、[[Qwen]]（`AIProvider.QWEN`，客户端 `QwenClient`）、[[Kimi]]（`AIProvider.KIMI`，客户端 `KimiClient`）、[[GLM]]（`AIProvider.GLM`，客户端 `GLMClient`）。与[[PaymentFactoryPattern|支付工厂模式]]采用类似的设计思想，支持动态切换提供商以提升系统容错性。

## Related Concepts

- [[PaymentFactoryPattern]] — 支付工厂模式
- [[MultiAgentCoordinationArchitecture]] — 多智能体架构
- [[AIRequestOptimization]] — AI请求优化",,wiki/concepts/AIProviderFactoryPattern.md,## Summary AI提供商工厂模式（AI Provider Factory Pattern）位于 `app/services/ai/ai_client_factory.py`，采用工厂模式统一管理4大AI提供商：[[DeepSeek]]（枚举 `AIProvider.DEEPSEEK`，客户端 `DeepSeekClient`/`AsyncDeepSeekClient`）、[[Qwen]]（`AIProvider.QWEN`，客户,"['ai', 'factory-pattern', 'provider']",concept,8
#00BCD4,1,concepts/AIRequestOptimization,AI Request Optimization,,2026-05-09,"['ai-intelligent-analysis-system', 'AIRequestOptimizer', 'AsyncClientPool', 'RateLimiting', 'CacheManagement', 'TaskScheduling', 'RiskManagement', 'ConfigurationManagement']","---
title: ""AI Request Optimization""
type: concept
tags: [ai, request-optimization, circuit-breaker, concurrency]
sources: [ai-intelligent-analysis-system]
last_updated: 2026-05-09
---

## Summary

AI请求优化策略（AI Request Optimization）由[[ai-intelligent-analysis-system|AI智能分析系统]]中的[[AIRequestOptimizer]]实现，提供五层防护：并发控制（`asyncio.Semaphore(max_concurrent=5)`）、请求重试（最大3次指数退避/线性退避/固定延迟）、超时控制（60s）、熔断器（连续失败5次打开，180s冷却后进入半开状态限流探测）、连接池复用（[[AsyncClientPool]]，最大10连接，5分钟空闲超时）。支持缓存注入（`call_with_cache()`）、优先级队列（HIGH/MEDIUM/LOW）以及详细的阶段耗时追踪（semaphore_wait/client_wait/api_elapsed），超过10s的慢请求自动记录。

## Related Concepts

- [[RateLimiting]] — 请求限流
- [[CacheManagement]] — 缓存管理
- [[TaskScheduling]] — 任务调度
- [[RiskManagement]] — 风险管理
- [[ConfigurationManagement]] — 配置管理",,wiki/concepts/AIRequestOptimization.md,## Summary AI请求优化策略（AI Request Optimization）由[[ai-intelligent-analysis-system|AI智能分析系统]]中的[[AIRequestOptimizer]]实现，提供五层防护：并发控制（`asyncio.Semaphore(max_concurrent=5)`）、请求重试（最大3次指数退避/线性退避/固定延迟）、超时控制（60s）、熔断器（连续失败5次打开，180s冷却,"['ai', 'request-optimization', 'circuit-breaker', 'concurrency']",concept,10
#FFC107,5,concepts/AlertSystem,AlertSystem,,2026-05-09,"['NotificationService', 'MainFundSelection', 'EventDriven']","---
title: ""AlertSystem""
type: concept
tags: [alert, monitoring]
sources: [notification-and-messaging-system]
last_updated: 2026-05-09
---

# AlertSystem

告警系统（Alert System）分为两个层面：

1. **系统异常告警** — 记录系统异常，由管理员查看和处理，包含告警等级（info/warning/critical）和关联的异常日志/堆栈信息
2. **监控告警** — 由价格监控和 AI 盯盘触发，通过 [[NotificationService]] 统一投递

## 触发场景

- 价格触及止盈/止损阈值
- 技术指标异常信号
- AI 交易计划更新

## Connections

- [[NotificationService]] — 告警通过通知服务投递
- [[MainFundSelection|主力选股系统]] — 为选股系统的监控模块提供告警能力
- [[EventDriven|事件驱动]] — 告警触发采用事件模式",,wiki/concepts/AlertSystem.md,# AlertSystem 告警系统（Alert System）分为两个层面： 1. **系统异常告警** — 记录系统异常，由管理员查看和处理，包含告警等级（info/warning/critical）和关联的异常日志/堆栈信息,"['alert', 'monitoring']",concept,5
#00BCD4,11,concepts/AttentionMechanism,Attention Mechanism,,2026-05-08,"['Transformer', 'DeepLearning']","---
title: ""Attention Mechanism""
type: concept
tags: [neural-network, attention]
sources: [graph-rebuild-verify]
last_updated: 2026-05-08
---

## Summary

The attention mechanism is a neural network technique that allows the model to focus on specific parts of the input sequence when generating output. It was first introduced for machine translation and later became the foundation of the [[Transformer]] architecture.

## Key Ideas

- Computes a weighted sum of values based on compatibility between query and key vectors
- Enables handling of long-range dependencies without recurrence
- Variants include self-attention, cross-attention, and multi-head attention

## Connections

- [[Transformer]] — the architecture that relies solely on attention mechanisms
- [[DeepLearning]] — attention is a key component of modern deep learning models",,wiki/concepts/AttentionMechanism.md,## Summary The attention mechanism is a neural network technique that allows the model to focus on specific parts of the input sequence when generating output. It was first introduced for machine translation and later be,"['neural-network', 'attention']",concept,17
#FFC107,5,concepts/A股手续费模型,A股手续费模型,,2026-05-09,"['A股手续费模型', 'backtest-engine']","---
title: ""A股手续费模型""
type: concept
tags: [finance, cost, trading]
sources: [backtest-engine]
last_updated: 2026-05-09
---

[[A股手续费模型]] 是 [[backtest-engine|回测引擎]] 中的真实成本模拟，包含：印花税（卖出0.1%）、佣金（双向0.025%可配置）、过户费（沪市双向0.002%）。配合自适应滑点模型，确保回测结果贴近真实交易环境，避免过拟合下的虚假盈利。
",,wiki/concepts/A股手续费模型.md,[[A股手续费模型]] 是 [[backtest-engine|回测引擎]] 中的真实成本模拟，包含：印花税（卖出0.1%）、佣金（双向0.025%可配置）、过户费（沪市双向0.002%）。配合自适应滑点模型，确保回测结果贴近真实交易环境，避免过拟合下的虚假盈利。,"['finance', 'cost', 'trading']",concept,2
